id;song;artist;duration_ms;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;popularity
4z93vwN56JnzVlXVv6oKtK;Palabras Tristes;Guardianes Del Amor;244467;516;784;4;-4.137;1;0.0281;0.0226;0.0;327;375;78.014;1
3nmVQq2I88mRjrA6OwmBn3;Corazón Romántico;Guardianes Del Amor;216653;619;903;4;-4.005;1;141;0.26;0.0;111;933;166.028;4
2kVvFKoSzBawpK15AgzKuB;Adios Con Adios Se Paga;Guardianes Del Amor;207640;0.77;749;2;-7.429;0;0.0512;0.0732;3.53e-05;0.0476;0.84;80.985;2
7zvIJwVNW8OE3CwgV7o6uX;Mi Tesoro;Guardianes Del Amor;196693;378;603;2;-4.23;1;0.0431;177;0.0;107;232;169.59;4
521VecGSgB9IHdp73vT7c9;Un Pedazo de Luna;Guardianes Del Amor;218173;558;577;4;-5.196;1;0.0344;194;0.0;108;0.29;85.014;5
2ATkO1zHEu27g3VsWC4F4c;Los Ángeles Lloran;Guardianes Del Amor;230240;438;681;0;-3.288;1;0.0269;389;0.0;254;674;169.41;2
4DrBKLEPiJW5cQGfQLkOCj;Dejame Secar Tus Lagrimas;Guardianes Del Amor;227427;0.54;691;2;-5.395;1;0.0435;104;6.23e-06;272;621;173.356;5
4xGWqGYH6Kojgj2Gg3GNqY;Winter’s Beach;Django Django;162506;321;404;9;-8.994;0;33;957;0.00116;108;159;65.74;1
6XuvZlhZhq6kDBaWd2O07k;Sand Dunes;Django Django;247734;638;754;8;-6.002;1;0.0263;0.00585;0.00218;143;465;109.987;7
7rSrhS0IRnqwG97mHs8smn;Swimming at Night;Django Django;176161;826;811;0;-7.123;1;0.0492;0.0792;0.0;362;0.85;135.023;2
1zT8zvNiMJmL34ahbJgS7o;Flash Forward;Django Django;286447;621;889;1;-7.491;1;0.0288;0.0389;0.0362;167;338;130.007;4
1nIAa9i6NivV726xGkOioh;Ghost Rider;Django Django;249294;489;669;10;-6.664;0;0.0328;0.0417;0.0824;0.0883;518;164.083;2
72mxb3F7mscqzCspQ5UKiU;Blue Hazy Highs;Django Django;215552;514;807;8;-5.584;1;0.0298;0.00258;0.0;369;625;145.031;9
3SBWvEd2AXOsXjqN61K3fz;Luck;Appleby;139625;635;0.13;3;-18.35;1;0.0311;0.84;259;0.12;293;100.0;14
1T1mC0ISuX7HS3e3Bk6atf;Flower of Passion;Blackjesus Yoshua;203639;758;277;9;-15.992;0;72;0.0768;308;0.0823;111;132.025;2
0Kmt86I7DjjLoWvhSLdPpi;Shinnindo's Mare;Blackjesus Yoshua;206785;612;753;5;-11.623;0;0.0462;0.0891;342;101;703;114.935;2
7HYwKw6Q5p4uMbBrbAcjNa;Scaler Warfare;Blackjesus Yoshua;238759;549;475;10;-13.865;1;0.0269;0.000762;0.0515;0.0722;102;100.037;2
7xDI9DFX7NrDGlR5LGvSQJ;Othello's Last Winter;Blackjesus Yoshua;238759;578;465;2;-13.573;0;0.0307;204;595;114;233;100.087;3
4csfH0rs9eEdtNqW3Sfjzd;Nuclear Winter Blues;Blackjesus Yoshua;212950;295;632;1;-14.184;1;94;0.00483;802;475;429;122.019;2
12Fd1eOelNq4demVPJqSsE;Hey Bo Grover;Blackjesus Yoshua;218070;705;426;2;-13.468;1;0.0672;31;894;215;874;160.134;2
5j8f98MIi8cQuz6rth3uNe;Go Outside;Blackjesus Yoshua;213159;593;341;3;-15.67;0;0.0283;129;748;0.0582;0.63;150.226;3
5bkA5CBW17LS3enGkDbgnP;The Automotons;Blackjesus Yoshua;210051;802;406;7;-13.492;1;0.0413;0.00795;867;168;654;119.999;3
4tCGIHexzRAoCGPDBLXCFn;Baked Beans;Blackjesus Yoshua;218070;549;413;8;-13.203;0;0.0363;0.0415;889;0.11;319;160.017;2
60Ta2CWxVxigyR3KVrmrDY;Angers Angel;Blackjesus Yoshua;192026;752;0.39;2;-16.158;1;0.0415;875;805;103;0.72;119.975;3
3Jpyl29C0YeoarEqf8UxQT;Zap These Roaches;Blackjesus Yoshua;195683;543;675;10;-9.375;0;0.0301;0.00526;827;192;447;164.082;7
3qRxIyB1Y2zbgDY8d0QKPP;True Enough;Alex Alavi;212625;482;279;4;-13.436;1;0.0345;0.77;677;105;567;125.739;14
5yPcfQuj1HFzfoytOJFa96;We Are 2;Alex Alavi;150000;712;161;3;-14.255;1;0.0369;843;0.00974;103;708;129.68;14
